app,category,confidence,composio_status,first_pass_auth,verified_auth,auth_correct,first_pass_access,verified_access,access_correct,first_pass_api,verified_api,api_correct,first_pass_mcp,verified_mcp,mcp_correct,first_pass_buildability,verified_buildability,buildability_correct,first_pass_composio,verified_composio,composio_correct,correction_reason,verification_url,verification_notes
fanbasis,Ecommerce,0.2,toolkit_gap,unknown,,,unknown,,,unknown / unknown,,,unknown,,,unknown,,,toolkit_gap,,,,,
Consensus,AI Research and Media-native,0.0,toolkit_gap,API Key,,,unknown,,,unknown / unknown,,,unknown,,,unknown,,,toolkit_gap,,,,,
Twenty,CRM and Sales,0.0,toolkit_gap,unknown,,,unknown,,,unknown / unknown,,,unknown,,,unknown,,,toolkit_gap,,,,,
Neo4j,Developer Infra and Data platforms,0.8,existing_toolkit,Basic | Token,,,self_serve,,,rest / broad,,,official,,,ready,,,existing_toolkit,,,,,
Firecrawl,Data SEO and Scraping,0.2,existing_toolkit,API Key,,,unknown,,,unknown / unknown,,,unknown,,,unknown,,,existing_toolkit,,,,,
Notion,Productivity and Project Management,0.9,existing_toolkit,OAuth2,,,self_serve,,,rest / broad,,,official,,,ready,,,existing_toolkit,,,,,
Plain,Support and Helpdesk,0.2,existing_toolkit,unknown,,,unknown,,,unknown / unknown,,,unknown,,,unknown,,,existing_toolkit,,,,,
Google Ads,Marketing Ads Email and Social,0.9,existing_toolkit,OAuth2,,,self_serve,,,rest / broad,,,unknown,,,ready,,,existing_toolkit,,,,,
Twilio,Communications and Messaging,0.9,existing_toolkit,API Key | Auth Token,,,self_serve,,,rest / broad,,,unknown,,,ready,,,existing_toolkit,,,,,
Paygent Connect,Finance and Fintech,0.2,toolkit_gap,API Key,,,unknown,,,unknown / unknown,,,unknown,,,unknown,,,toolkit_gap,,,,,
Otter AI,AI Research and Media-native,0.7,toolkit_gap,OAuth2,,,self_serve,,,rest / moderate,,,official,,,ready_with_constraints,,,toolkit_gap,,,,,
Salesforce Commerce Cloud,Ecommerce,0.8,unresolved,unknown,,,admin_gated,,,rest / broad,,,unknown,,,ready_with_constraints,,,unresolved,,,,,
Mermaid CLI,AI Research and Media-native,0.8,toolkit_gap,unknown,,,self_serve,,,none / none,,,none,,,blocked,,,toolkit_gap,,,,,
DealCloud,CRM and Sales,0.7,toolkit_gap,unknown,,,admin_gated,,,rest / moderate,,,unknown,,,ready_with_constraints,,,toolkit_gap,,,,,
Ramp,Finance and Fintech,0.7,existing_toolkit,OAuth2 | API Key,,,admin_gated,,,rest / moderate,,,none,,,ready_with_constraints,,,existing_toolkit,,,,,
higgsfield,AI Research and Media-native,0.7,toolkit_gap,API Key,,,self_serve,,,rest / moderate,,,none,,,ready_with_constraints,,,toolkit_gap,,,,,
Attio,CRM and Sales,0.7,existing_toolkit,API Key,,,self_serve,,,rest / moderate,,,none,,,ready_with_constraints,,,existing_toolkit,,,,,
Gladly,Support and Helpdesk,0.7,toolkit_gap,unknown,,,admin_gated,,,rest / moderate,,,unknown,,,ready_with_constraints,,,toolkit_gap,,,,,
Pylon,Support and Helpdesk,0.2,existing_toolkit,unknown,,,unknown,,,unknown / unknown,,,official,,,unknown,,,existing_toolkit,,,,,
Reducto,AI Research and Media-native,0.6,toolkit_gap,API Key,,,contact_sales,,,rest / moderate,,,none,,,ready_with_constraints,,,toolkit_gap,,,,,
